Ad group,Ad group ID
Acura | MDX,99357626786
Cadillac | CTS-V,99357633746
Cadillac | Escalade,99357633826
Cadillac | SRX Crossover,99357634266
Cadillac | XT5,99357634506
Chevrolet | Avalanche 2500,99357634786
Chevrolet | Camaro,99357635026
Chevrolet | Captiva Sport,99357635226
Chevrolet | City Express,99357635266
Chevrolet | Cobalt,99357635426
Chevrolet | Colorado,99357635466
Chevrolet | Corvette,99357635506
Chevrolet | Cruze,99357635946
Chevrolet | Express 2500 Cargo,99357636426
Chevrolet | Express 3500,99357636466
Chevrolet | Express Passenger,99357637106
Chevrolet | Silverado 1500,99357637866
Chevrolet | Silverado 1500HD,99357637906
Chevrolet | Silverado 2500,99357638066
Chevrolet | Silverado 2500HD,99357638106
Chevrolet | Silverado Hybrid,99357638586
Chevrolet | Spark,99357638786
Chevrolet | Suburban 1500,99357639026
Chevrolet | TrailBlazer,99357639306
Chevrolet | TrailBlazer EXT,99357639346
Chevrolet | Trax,99357639546
Chevrolet | Uplander,99357639586
Chrysler | Town & Country,99357640466
Dodge | Caravan,99357640746
Dodge | Charger,99357640946
Dodge | Dart,99357641026
Dodge | Grand Caravan,99357641266
Dodge | Ram 3500 DRW,99357641906
Dodge | Sprinter,99357641986
Dodge | Stratus,99357642186
Dodge | Viper,99357642226
Fiat | 500,99357642386
Fiat | 500C,99357642426
Fiat | 500L,99357642466
Ford | C-Max Hybrid,99357642706
Ford | Crown Victoria,99357642866
Ford | E-250 Cargo,99357643106
Ford | E-350,99357643146
Ford | E-350 Wagon,99357643346
Ford | Escape Hybrid,99357643826
Ford | Expedition,99357643866
Ford | Explorer,99357644066
Ford | F-250 SD,99357644386
Ford | Fiesta,99357644826
Ford | Focus ZX5,99357645306
Ford | Focus ZXW,99357645346
Ford | Fusion,99357645586
Ford | Mustang,99357645826
Ford | Police Interceptor,99357645986
Ford | Super Duty F-350 SRW,99357646266
Ford | Taurus,99357646306
Ford | Taurus X,99357646466
Ford | Transit Connect,99357646746
Ford | Transit Connect Van,99357646946
GMC | Savana 2500 Cargo,99357647746
GMC | Savana 3500 Passenger,99357647986
GMC | Sierra 1500 Hybrid,99357648466
GMC | Sierra 2500,99357648666
GMC | Sierra 3500HD,99357648946
GMC | Terrain,99357649426
GMC | Yukon Hybrid,99357649626
GMC | Yukon XL 1500,99357649826
Honda | Clarity Plug-In Hybrid,99357650386
Honda | Element,99357650586
Honda | Fit,99357650626
Honda | HR-V,99357650786
Honda | Insight Hybrid,99357650866
Honda | Odyssey,99357651026
Hummer | H2,99357651346
Hummer | H3,99357651506
Hyundai | Accent,99357651546
Hyundai | Elantra,99357651746
Hyundai | Elantra Coupe,99357651786
Hyundai | Santa Fe Sport,99357652466
Hyundai | Tiburon,99357652746
Hyundai | Veloster,99357652946
Infiniti | EX35,99357653026
Infiniti | FX50,99357653426
Infiniti | G35,99357653666
Infiniti | G37,99357653706
Infiniti | I30,99357653746
Infiniti | M35,99357654186
Infiniti | M45,99357654426
Infiniti | Q45,99357654626
Infiniti | Q70L,99357654666
Infiniti | QX30,99357654706
Infiniti | QX4,99357654866
Isuzu | Ascender,99357655186
Isuzu | i350,99357655426
Kia | Rio5,99357657306
Kia | Sedona,99357657506
Kia | Spectra,99357657786
Kia | Stinger,99357658026
Land Rover | Discovery Sport,99357658066
Land Rover | Range Rover Sport,99357658746
Lexus | ES 350,99357658986
Lexus | ES Hybrid,99357659026
Lexus | ES330,99357659266
Lexus | GS,99357659466
Lexus | GS 200t,99357659506
Lexus | GS300,99357659906
Lexus | GS430,99357660146
Lexus | GX,99357660386
Lexus | IS 350,99357661146
Lexus | IS 350 F,99357661346
Lexus | IS C,99357661386
Lexus | IS350,99357661666
Lexus | LS,99357661866
Lexus | NX,99357662626
Lexus | NX 200t F,99357662826
Lexus | NX Hybrid,99357662866
Lexus | RC 350,99357663106
Lexus | RX,99357663266
Lexus | SC,99357663586
Lincoln | Continental,99357663786
Lincoln | MKC,99357663986
Lincoln | MKS,99357664026
Lincoln | MKX,99357664226
Lincoln | MKZ Hybrid,99357664306
MINI | Convertible,99357664746
MINI | Cooper Hardtop,99357665026
MINI | Cooper S Convertible,99357665266
MINI | Cooper S Hardtop,99357665666
MINI | Countryman,99357665906
Mazda | B 4000,99357666466
Mazda | CX-5,99357666666
Mazda | MAZDA2,99357666906
Mazda | MAZDA6,99357667146
Mazda | MAZDASPEED3,99357667186
Mazda | MPV,99357667386
Mazda | Mx6,99357667586
Mazda | RX-8,99357667626
Mazda | Tribute,99357667666
Mercedes-Benz | 300SL,99357667866
Mercedes-Benz | B-Class,99357668066
Mercedes-Benz | CL-Class,99357668346
Mercedes-Benz | CLA,99357668546
Mercedes-Benz | CLA-Class,99357668586
